dataset,budget,model_idx,model_name,org,org_type,model_size_B,created_date,ci_width,median_width,ratio_to_median,direction
bbh+gpqa+ifeval+math+musr,0.025,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.15028039,0.09270489,1.621062,high
bbh+gpqa+ifeval+math+musr,0.05,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.02651371,0.05924028,0.4475622,low
bbh+gpqa+ifeval+math+musr,0.05,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.026419487,0.05924028,0.44597167,low
bbh+gpqa+ifeval+math+musr,0.05,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.026484618,0.05924028,0.4470711,low
bbh+gpqa+ifeval+math+musr,0.05,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.026198274,0.05924028,0.4422375,low
bbh+gpqa+ifeval+math+musr,0.05,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.10035181,0.05924028,1.6939793,high
bbh+gpqa+ifeval+math+musr,0.075,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.018379064,0.045633335,0.40275523,low
bbh+gpqa+ifeval+math+musr,0.075,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.019654471,0.045633335,0.43070427,low
bbh+gpqa+ifeval+math+musr,0.075,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.019731488,0.045633335,0.43239197,low
bbh+gpqa+ifeval+math+musr,0.075,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.019445557,0.045633335,0.42612615,low
bbh+gpqa+ifeval+math+musr,0.075,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.019704241,0.045633335,0.4317949,low
bbh+gpqa+ifeval+math+musr,0.075,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.07817069,0.045633335,1.7130172,high
bbh+gpqa+ifeval+math+musr,0.075,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.019925896,0.045633335,0.4366522,low
bbh+gpqa+ifeval+math+musr,0.075,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.020096073,0.045633335,0.44038144,low
bbh+gpqa+ifeval+math+musr,0.1,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.014186337,0.038136665,0.3719868,low
bbh+gpqa+ifeval+math+musr,0.1,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.015911005,0.038136665,0.4172102,low
bbh+gpqa+ifeval+math+musr,0.1,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.016008785,0.038136665,0.41977412,low
bbh+gpqa+ifeval+math+musr,0.1,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.015797315,0.038136665,0.41422907,low
bbh+gpqa+ifeval+math+musr,0.1,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.01534998,0.038136665,0.4024993,low
bbh+gpqa+ifeval+math+musr,0.1,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.06565574,0.038136665,1.721591,high
bbh+gpqa+ifeval+math+musr,0.1,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.015526004,0.038136665,0.4071149,low
bbh+gpqa+ifeval+math+musr,0.1,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.015688293,0.038136665,0.41137034,low
bbh+gpqa+ifeval+math+musr,0.125,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.011623145,0.033255517,0.34951028,low
bbh+gpqa+ifeval+math+musr,0.125,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.013544237,0.033255517,0.4072779,low
bbh+gpqa+ifeval+math+musr,0.125,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.013636832,0.033255517,0.41006225,low
bbh+gpqa+ifeval+math+musr,0.125,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.013533681,0.033255517,0.40696046,low
bbh+gpqa+ifeval+math+musr,0.125,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.01271032,0.033255517,0.38220185,low
bbh+gpqa+ifeval+math+musr,0.125,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.05738474,0.033255517,1.7255706,high
bbh+gpqa+ifeval+math+musr,0.125,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.012862536,0.033255517,0.386779,low
bbh+gpqa+ifeval+math+musr,0.125,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.012967515,0.033255517,0.38993573,low
bbh+gpqa+ifeval+math+musr,0.15,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.009887416,0.029781217,0.33200175,low
bbh+gpqa+ifeval+math+musr,0.15,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.011919729,0.029781217,0.4002432,low
bbh+gpqa+ifeval+math+musr,0.15,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.012000468,0.029781217,0.40295425,low
bbh+gpqa+ifeval+math+musr,0.15,250,zelk12__MT5-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-29 20:40:19+00:00,0.011909799,0.029781217,0.39990973,low
bbh+gpqa+ifeval+math+musr,0.15,539,hotmailuser__QwenStock-0.5B,hotmailuser,Community,0.5,2025-01-08 14:29:15+00:00,0.010935762,0.029781217,0.36720333,low
bbh+gpqa+ifeval+math+musr,0.15,1620,qingy2024__Benchmaxx-Llama-3.2-1B-Instruct,qingy2024,Community,1.0,2025-02-24 19:32:22+00:00,0.051496893,0.029781217,1.7291735,high
bbh+gpqa+ifeval+math+musr,0.15,1743,Supichi__BBA-123,Supichi,Community,,2025-02-26 15:11:43+00:00,0.012844565,0.029781217,0.43129754,low
bbh+gpqa+ifeval+math+musr,0.15,1926,ontocord__wide_3b_sft_stage1.1-ss1-with_r1_generics_intr_math_stories.no_issue,ontocord,Community,,2025-03-03 12:56:38+00:00,0.01106972,0.029781217,0.3717014,low
bbh+gpqa+ifeval+math+musr,0.15,1988,necva__IE-cont-Llama3.1-8B,necva,Community,8.0,2025-03-06 07:54:32+00:00,0.011105763,0.029781217,0.37291166,low
bbh+gpqa+ifeval+math+musr,0.175,3,zelk12__MT4-Gen4-gemma-2-9B,zelk12,Community,9.0,2024-12-20 00:16:02+00:00,0.011747431,0.027136989,0.4328937,low
bbh+gpqa+ifeval+math+musr,0.175,16,INSAIT-Institute__BgGPT-Gemma-2-27B-IT-v1.0,INSAIT-Institute,Community,27.0,2024-12-20 05:57:01+00:00,0.00861289,0.027136989,0.3173856,low
bbh+gpqa+ifeval+math+musr,0.175,134,zelk12__MT3-Gen5-gemma-2-9B,zelk12,Community,9.0,2024-12-26 15:15:02+00:00,0.010650221,0.027136989,0.39246142,low
bbh+gpqa+ifeval+math+musr,0.175,188,zelk12__MT3-Gen5-gemma-2-9B_v1,zelk12,Community,,2024-12-28 00:24:10+00:00,0.010811781,0.027136989,0.39841488,low
